dL_thr,reduction_pars_coll,dL_cov,thr_fib_0,thr_fib_1,thr_fib_2
0.0,1.0,0.0,0.0,0.0,0.0
0.0100000007,0.8148345594372907,0.009872408749515671,0.4000000059604645,0.6499999761581421,0.30000001192092896
0.0200000014,0.709225272951887,0.019962396409482608,0.0,0.800000011920929,0.20000000298023224
0.0300000012,0.6416300319417703,0.029867446013668086,0.550000011920929,0.800000011920929,0.30000001192092896
0.0400000028,0.5695774114923595,0.039706482353722095,0.6000000238418579,0.800000011920929,0.4000000059604645
0.0500000045,0.5123181711945332,0.04925515582181106,0.6499999761581421,0.800000011920929,0.3499999940395355
0.0600000024,0.46344614973678644,0.05985773259544658,0.7000000476837158,0.8500000238418579,0.30000001192092896
0.0700000077,0.4136347953834682,0.06956548761263548,0.75,0.8999999761581421,0.30000001192092896
0.0800000057,0.37234532726402597,0.07991018217580859,0.75,1.0,0.5
0.0900000036,0.3349500840280019,0.08935285890402156,0.800000011920929,0.800000011920929,0.800000011920929
0.1000000089,0.30534329055881404,0.09974788893305231,0.800000011920929,1.0,0.800000011920929
0.1100000069,0.2857564189602787,0.10930623664171435,0.8500000238418579,0.75,0.8999999761581421
0.1200000048,0.261798978308533,0.11994943572790362,0.8500000238418579,1.0,0.949999988079071
0.1300000101,0.2412059965943618,0.12936975050979527,0.8999999761581421,0.949999988079071,0.8500000238418579
0.1400000155,0.2192930518302523,0.13954155051760608,0.949999988079071,1.0,0.75
0.150000006,0.20506505214187934,0.14795669239538256,0.949999988079071,1.0,1.0
0.1599999964,0.19991875438225507,0.1595513484062394,1.0,0.4000000059604645,0.8999999761581421
0.1700000018,0.17404703342199865,0.16990782120046788,1.0,0.75,0.800000011920929
0.1800000072,0.15662930852188622,0.17985551780293463,1.0,0.8999999761581421,1.0
0.1899999976,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.200000003,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.2100000083,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.2199999988,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.2300000042,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.2400000095,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.25,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.2600000203,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.2700000107,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.2800000012,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.2900000215,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
0.3000000119,0.14684199396779113,0.18790901210013544,1.0,1.0,1.0
