dL_thr,reduction_pars_coll,dL_cov,thr_fib_0,thr_fib_1,thr_fib_2
0.0,1.0,0.0,0.0,0.0,0.0
0.0100000007,0.8281966811721628,0.009431089456484187,0.4000000059604645,0.6499999761581421,0.45000001788139343
0.0200000014,0.7233074757097862,0.01965979781925853,0.0,0.8999999761581421,0.3499999940395355
0.0300000012,0.6608663231349678,0.029837629288067546,0.550000011920929,0.949999988079071,0.30000001192092896
0.0400000028,0.5952376712557457,0.03997766040083661,0.6499999761581421,0.8500000238418579,0.550000011920929
0.0500000045,0.542385727482165,0.049863645514051314,0.75,0.800000011920929,0.4000000059604645
0.0600000024,0.49070015915237447,0.05978856964793522,0.75,1.0,0.6000000238418579
0.0700000077,0.44473183381375836,0.06997940765722888,0.800000011920929,0.949999988079071,0.8500000238418579
0.0800000057,0.42729741460862986,0.0755018448944611,0.800000011920929,1.0,1.0
0.0900000036,0.3914068847313886,0.08944932802114636,0.8500000238418579,1.0,0.949999988079071
0.1000000089,0.371275778789329,0.09950271781053743,0.8999999761581421,0.8999999761581421,1.0
0.1100000069,0.3499092942760793,0.10871817347651813,0.949999988079071,0.949999988079071,0.8999999761581421
0.1200000048,0.34398392894903784,0.11147119029192254,0.949999988079071,0.949999988079071,1.0
0.1300000101,0.3127488842639481,0.12998377274925588,1.0,0.8999999761581421,0.8500000238418579
0.1400000155,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.150000006,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.1599999964,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.1700000018,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.1800000072,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.1899999976,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.200000003,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.2100000083,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.2199999988,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.2300000042,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.2400000095,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.25,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.2600000203,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.2700000107,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.2800000012,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.2900000215,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
0.3000000119,0.30060655974891765,0.13425854947854532,1.0,1.0,1.0
