dL_thr,reduction_pars_coll,dL_cov,thr_fib_0,thr_fib_1,thr_fib_2
0.0,1.0,0.0,0.0,0.0,0.0
0.0100000007,0.8284604511914169,0.009304612158956616,0.45000001788139343,0.6000000238418579,0.4000000059604645
0.0200000014,0.7034969004240353,0.019757766601287585,0.4000000059604645,0.7000000476837158,0.30000001192092896
0.0300000012,0.6456767314776686,0.02973250272043515,0.0,0.75,0.3499999940395355
0.0400000028,0.5800302723397625,0.03964632462702866,0.6000000238418579,0.6000000238418579,0.30000001192092896
0.0500000045,0.5242690676787125,0.04887369569405564,0.6000000238418579,0.6499999761581421,0.4000000059604645
0.0600000024,0.4696497534807626,0.059931059811788145,0.6499999761581421,0.6000000238418579,0.30000001192092896
0.0700000077,0.42667861236936705,0.06920101089235686,0.7000000476837158,0.5,0.4000000059604645
0.0800000057,0.3516610833491002,0.07995336437488731,0.6499999761581421,0.8999999761581421,0.15000000596046448
0.0900000036,0.32303368910752245,0.08993257650217856,0.7000000476837158,0.75,0.20000000298023224
0.1000000089,0.2922226797698412,0.09924433565538493,0.75,0.6499999761581421,0.15000000596046448
0.1100000069,0.2552147444101902,0.10983531233614485,0.75,0.800000011920929,0.10000000149011612
0.1200000048,0.23214321487796463,0.1185116495589682,0.75,0.8999999761581421,0.05000000074505806
0.1300000101,0.20587973422666414,0.12968856473344204,0.800000011920929,0.800000011920929,0.10000000149011612
0.1400000155,0.18387664021546782,0.1393619278701408,0.800000011920929,0.949999988079071,0.05000000074505806
0.150000006,0.1643877085396935,0.14994321777339792,0.8500000238418579,0.7000000476837158,0.15000000596046448
0.1599999964,0.14636342389066342,0.15831075116875581,0.8500000238418579,0.6000000238418579,0.5
0.1700000018,0.1326184460940891,0.16876118266418416,0.8500000238418579,0.949999988079071,0.05000000074505806
0.1800000072,0.12354342188734684,0.17951497559261043,0.8500000238418579,0.800000011920929,0.45000001788139343
0.1899999976,0.10995648351159142,0.18820072595553938,0.8999999761581421,0.5,0.6499999761581421
0.200000003,0.09899611579169959,0.1996935905845021,0.8999999761581421,0.550000011920929,0.75
0.2100000083,0.0863017662574707,0.20942324706265936,0.949999988079071,0.25,0.949999988079071
0.2199999988,0.0780748127455454,0.21936089426162653,0.949999988079071,0.4000000059604645,0.800000011920929
0.2300000042,0.06748617155067835,0.2292666763842135,1.0,0.05000000074505806,1.0
0.2400000095,0.058955381687460354,0.23831853028968908,1.0,0.10000000149011612,0.8999999761581421
0.25,0.04630555029994101,0.249892022475251,1.0,0.15000000596046448,0.949999988079071
0.2600000203,0.04184149313864064,0.2554236253199633,1.0,0.20000000298023224,0.949999988079071
0.2700000107,0.0341754682752557,0.26943821388704237,1.0,0.25,1.0
0.2800000012,0.03101913167354843,0.27990175172453746,1.0,1.0,0.550000011920929
0.2900000215,0.02847269368176203,0.2873756808694452,1.0,1.0,0.800000011920929
0.3000000119,0.02772033700237059,0.29067477633361705,1.0,1.0,0.949999988079071
