distance_threshold,num_colors_l1,num_colors_l2,num_colors_l3,num_nodes_loss,reduction_nodes,num_params_loss,reduction_pars_loss
0.0066,109,106,118,333,0.222,111041,0.12358348821938543
0.0068,108,104,117,329,0.21933333333333332,109581,0.12195857586448676
0.007,105,101,115,321,0.214,106021,0.11799646080733658
0.0072,99,97,111,307,0.20466666666666666,99413,0.11064206297091853
0.0074,99,97,109,305,0.20333333333333334,99197,0.11040166497868693
0.0076,97,93,107,297,0.198,96397,0.10728539470901827
0.0078,97,90,106,293,0.19533333333333333,95681,0.10648851988291727
0.008,96,88,104,288,0.192,94202,0.10484246140833157
0.0082,94,85,103,282,0.188,91763,0.10212796741271661
0.0084,93,82,102,277,0.18466666666666667,90209,0.10039843741305049
0.0086,92,81,99,272,0.18133333333333335,88871,0.09890930540561596
0.0088,89,79,98,266,0.17733333333333334,85805,0.09549698946032877
0.009,89,76,98,263,0.17533333333333334,85241,0.09486928359172407
0.0092,89,75,98,262,0.17466666666666666,85053,0.09466004830218917
0.0094,88,73,95,256,0.17066666666666666,83567,0.0930061991519293
0.0096,87,70,91,248,0.16533333333333333,81836,0.09107967635307342
0.0098,86,69,89,244,0.16266666666666665,80643,0.08975192262746103
0.01,85,68,87,240,0.16,79456,0.08843084662385504
0.0102,81,67,85,233,0.15533333333333332,75719,0.0842717387675151
0.0104,81,65,85,231,0.154,75385,0.08390001224249034
0.0106,79,65,84,228,0.152,73609,0.08192340652858622
0.0108,78,65,81,224,0.14933333333333335,72531,0.08072364247476378
0.011,77,64,80,221,0.14733333333333334,71447,0.0795172006989349
0.0112,75,64,80,219,0.146,69749,0.0776274053711144
0.0114,73,63,78,214,0.14266666666666666,67749,0.07540149803563678
0.0116,71,63,77,211,0.14066666666666666,65979,0.07343157004373908
0.0118,71,60,76,207,0.138,65461,0.07285506004385038
0.012,71,60,75,206,0.13733333333333334,65390,0.07277604033344091
0.0122,68,60,72,200,0.13333333333333333,62642,0.06971764365449466
0.0124,67,58,71,196,0.13066666666666665,61448,0.06838877697521452
