epoch,num_nodes_coll,num_params_coll,reduction_pars_coll,reduction_nodes,num_colors_l0,num_colors_l1,num_colors_l2
0,1499,897509,0.9988859333785934,0.9993333333333333,500,499,500
1,1498,896999,0.9983183270080467,0.9986666666666667,500,499,499
2,1500,898510,1.0,1.0,500,500,500
3,1499,897509,0.9988859333785934,0.9993333333333333,500,499,500
4,1499,897509,0.9988859333785934,0.9993333333333333,500,499,500
5,1500,898510,1.0,1.0,500,500,500
6,1499,897509,0.9988859333785934,0.9993333333333333,500,499,500
7,1500,898510,1.0,1.0,500,500,500
8,1498,896508,0.9977718667571869,0.9986666666666667,500,498,500
9,1498,896508,0.9977718667571869,0.9986666666666667,500,498,500
10,1499,897509,0.9988859333785934,0.9993333333333333,500,499,500
11,1498,896508,0.9977718667571869,0.9986666666666667,500,498,500
12,1495,893999,0.9949794660048302,0.9966666666666667,500,496,499
13,1485,885995,0.9860713848482487,0.99,500,490,495
14,1477,881499,0.981067545158095,0.9846666666666667,500,489,488
15,1465,869789,0.9680348577088735,0.9766666666666667,497,482,486
16,1447,855095,0.9516811165151194,0.9646666666666667,497,470,480
17,1441,854049,0.9505169669786647,0.9606666666666667,495,477,469
18,1422,839323,0.934127611267543,0.948,494,467,461
19,1395,814783,0.9068157282612325,0.93,488,452,455
20,1364,793670,0.8833179374742629,0.9093333333333333,484,444,436
21,1342,781545,0.8698233742529299,0.8946666666666667,483,441,418
22,1315,760251,0.8461241388520996,0.8766666666666667,478,429,408
23,1265,725163,0.8070728205584802,0.8433333333333334,473,407,385
24,1218,698020,0.7768639191550456,0.812,468,398,352
25,1192,677234,0.7537300642174266,0.7946666666666666,460,388,344
26,1144,646283,0.7192830352472427,0.7626666666666667,450,377,317
27,1128,634777,0.7064773903462399,0.752,447,369,312
28,1105,623651,0.6940946678389779,0.7366666666666667,443,371,291
29,1089,611197,0.6802339428609587,0.726,446,347,296
30,1030,577035,0.6422132196636654,0.6866666666666666,430,345,255
31,999,560515,0.6238272250726202,0.666,429,330,240
32,948,538126,0.5989093054056159,0.632,424,326,198
33,950,535661,0.5961658746146398,0.6333333333333333,425,313,212
34,893,500855,0.5574284092553227,0.5953333333333334,413,288,192
