epoch,num_nodes_coll,num_params_coll,reduction_pars_coll,reduction_nodes,num_colors_l0,num_colors_l1,num_colors_l2
0,1127,678045,0.7546326696419628,0.7513333333333333,478,431,218
1,1119,674225,0.7503811866312006,0.746,482,418,219
2,1135,684939,0.7623053722273542,0.7566666666666667,481,435,219
3,1195,692123,0.7703008313763898,0.7966666666666666,463,418,314
4,1177,678317,0.7549353930395878,0.7846666666666666,460,407,310
5,1155,662327,0.7371392638924441,0.77,457,394,304
6,1151,657963,0.732282334086432,0.7673333333333333,453,395,303
7,1131,642913,0.7155323813869628,0.754,448,386,297
8,1104,616294,0.6859066677054234,0.736,430,380,294
9,1077,589409,0.6559849083482655,0.718,413,370,294
10,1055,564951,0.6287642875427096,0.7033333333333334,398,356,301
11,1007,515879,0.5741494251594306,0.6713333333333333,360,349,298
12,951,461329,0.5134378025842784,0.634,322,330,299
13,908,420957,0.4685056371103271,0.6053333333333333,293,317,298
14,824,343739,0.3825655807948715,0.5493333333333333,234,297,293
15,797,322557,0.358990996204828,0.5313333333333333,220,287,290
16,758,286068,0.3183804298227065,0.5053333333333333,190,278,290
17,713,243795,0.2713325394263837,0.47533333333333333,154,269,290
18,690,224386,0.24973122168924108,0.46,139,260,291
19,670,209885,0.23359228055336057,0.44666666666666666,129,251,290
20,619,172109,0.1915493428008592,0.4126666666666667,100,235,284
21,590,148025,0.16474496666703764,0.3933333333333333,79,229,282
22,564,126358,0.1406305995481408,0.376,60,222,282
23,556,122172,0.13597177549498615,0.37066666666666664,57,222,277
24,540,110344,0.12280775951297147,0.36,47,218,275
25,538,109401,0.12175824420429378,0.3586666666666667,47,213,278
26,532,106313,0.11832144327831633,0.3546666666666667,45,211,276
27,533,111641,0.12425126042002871,0.35533333333333333,52,208,273
28,515,95907,0.10674004741182624,0.3433333333333333,37,206,272
29,518,102453,0.1140254421208445,0.3453333333333333,45,203,270
30,510,96679,0.10759924764332061,0.34,40,201,269
31,508,95081,0.10582074768227398,0.33866666666666667,39,197,272
32,494,81923,0.0911765033221667,0.3293333333333333,26,195,273
33,495,85603,0.09527217281944553,0.33,31,191,273
34,491,83921,0.09340018475030884,0.3273333333333333,30,190,271
35,494,82505,0.09182424235679068,0.3293333333333333,27,193,274
36,494,83180,0.09257548608251438,0.3293333333333333,28,192,274
37,490,80420,0.08950373395955527,0.32666666666666666,26,188,276
38,482,75732,0.0842862071651957,0.32133333333333336,22,188,272
39,488,79919,0.08894614417201811,0.3253333333333333,26,187,275
40,487,78375,0.08722774370902939,0.32466666666666666,24,189,274
41,472,71234,0.07928014156770653,0.31466666666666665,20,178,274
42,474,74920,0.0833824887869918,0.316,24,180,270
43,487,78663,0.08754827436533817,0.32466666666666666,24,192,271
44,479,75719,0.0842717387675151,0.31933333333333336,23,186,270
45,489,78389,0.08724332506037774,0.326,23,193,273
46,491,79757,0.08876584567784443,0.3273333333333333,24,195,272
47,488,76718,0.08538357948158617,0.3253333333333333,22,186,280
48,483,75439,0.08396011174054824,0.322,21,191,271
49,477,72035,0.08017161745556532,0.318,19,184,274
50,477,74155,0.0825310792311716,0.318,22,182,273
51,486,78076,0.08689497056237548,0.324,24,188,274
52,487,76727,0.08539359606459583,0.32466666666666666,22,188,277
53,486,75176,0.08366740492593293,0.324,20,190,276
54,478,74069,0.08243536521574607,0.31866666666666665,21,187,270
55,480,76591,0.08524223436578335,0.32,24,185,271
56,486,75716,0.08426839990651189,0.324,20,196,270
57,477,73003,0.08124895660593649,0.318,20,186,271
58,486,76229,0.0848393451380619,0.324,21,193,272
59,489,76337,0.0849595441341777,0.326,20,196,273
60,492,76093,0.08468798343924942,0.328,19,195,278
61,492,79870,0.08889160944229892,0.328,24,194,274
62,481,73305,0.08158506861359362,0.32066666666666666,19,189,273
