distance_threshold,acc_loss,loss_loss
0.0002,96.58033752441406,0.10746305071515963
0.0004,96.63033294677734,0.10864649734226987
0.0006,96.56034088134766,0.10943621963029727
0.0008,96.59033966064453,0.11076651698444039
0.001,96.52034759521484,0.11359842855716124
0.0012,96.41035461425781,0.11585974146611988
0.0014,96.40036010742188,0.11815926420502365
0.0016,96.2803726196289,0.12311317651998252
0.0018,96.13038635253906,0.1269197359122336
0.002,96.1203842163086,0.1301263346755877
0.0022,96.13038635253906,0.13292195765767245
0.0024,96.0503921508789,0.13698999856598676
0.0026,95.99040222167969,0.1417315174313262
0.0028,95.89041137695312,0.1451783330924809
0.003,95.89041137695312,0.14680603372864426
0.0032,95.5804443359375,0.15501185759902
0.0034,95.32046508789062,0.16447251425124704
0.0036,95.17047882080078,0.16877194674685597
0.0038,95.04049682617188,0.17177476145327092
0.004,94.85051727294922,0.18465382989495993
0.0042,94.73052978515625,0.19439988130703567
0.0044,94.62053680419922,0.19737341215834023
0.0046,94.6905288696289,0.19699632136151193
0.0048,94.3505630493164,0.2102209019102156
0.005,94.16058349609375,0.2140453545190394
0.0052,94.03059387207031,0.22938521571457385
0.0054,93.62063598632812,0.24098989367485046
0.0056,93.71062469482422,0.2406472471356392
0.0058,92.47074890136719,0.3022959340363741
0.006,92.26077270507812,0.30910005383193495
0.0062,91.94080352783203,0.3203390729427338
0.0064,91.39086151123047,0.33442493110895155
0.0066,91.23087310791016,0.3454498955607414
0.0068,91.0608901977539,0.3505334521830082
0.007,90.2509765625,0.3719440042972565
0.0072,89.0210952758789,0.44036461889743805
0.0074,88.96110534667969,0.44067622542381285
0.0076,89.24107360839844,0.43841327920556067
0.0078,88.88111114501953,0.45244581893086433
0.008,88.54114532470703,0.4608958840370178
0.0082,88.99109649658203,0.45523728013038633
0.0084,88.51114654541016,0.46971623674035073
0.0086,87.19127655029297,0.5171320852637291
0.0088,86.84131622314453,0.5337007413804531
0.009,86.84131622314453,0.5368862879276276
0.0092,86.6013412475586,0.5428275972604751
0.0094,86.6413345336914,0.5446205244958401
0.0096,85.95140075683594,0.5752453899383545
0.0098,85.52144622802734,0.5814169582724571
0.01,85.71142578125,0.5827600553631782
0.0102,85.42145538330078,0.5947652533650398
0.0104,85.34146881103516,0.5974867630004883
0.0106,85.04149627685547,0.6113446635007859
0.0108,84.78152465820312,0.6216030526161194
0.011,84.50154876708984,0.6320627677440643
0.0112,83.55164337158203,0.6808652088046074
0.0114,83.26167297363281,0.6942771232128143
0.0116,75.86241149902344,0.8511287271976471
0.0118,74.25257110595703,0.8689895212650299
0.012,74.23257446289062,0.8692068094015122
0.0122,85.75142669677734,0.6707960104942322
0.0124,85.44145202636719,0.677096540927887
0.0126,85.18148040771484,0.6894676166772843
0.0128,85.66143035888672,0.6940019702911377
0.013,85.41146087646484,0.6989280688762665
0.0132,85.53144836425781,0.7063444536924363
0.0134,80.37196350097656,0.7979948610067368
0.0136,79.09208679199219,0.8210486257076264
0.0138,79.03209686279297,0.8236281371116638
0.014,79.0020980834961,0.8254029178619384
0.0142,78.62213897705078,0.835477659702301
0.0144,77.79222106933594,0.8543622821569443
0.0146,78.31217193603516,0.8505520272254944
0.0148,78.5721435546875,0.8509401845932006
0.015,78.22217559814453,0.8726979732513428
0.0152,77.35226440429688,0.8807637971639634
0.0154,75.46245574951172,0.9201177841424942
0.0156,62.29376983642578,1.2445167875289918
0.0158,62.06379318237305,1.2610576874017716
0.016,61.77382278442383,1.2705081617832183
0.0162,60.61393737792969,1.305053472518921
0.0164,61.073890686035156,1.3074486416578293
0.0166,56.384361267089844,1.3436790478229523
0.0168,56.44435501098633,1.347619446516037
0.017,56.44435501098633,1.347619446516037
0.0172,56.07439041137695,1.357693350315094
0.0174,55.85441589355469,1.3633479392528534
0.0176,54.134586334228516,1.3902233564853668
0.0178,54.02459716796875,1.3916899275779724
0.018,54.02459716796875,1.3916899275779724
0.0182,54.15458297729492,1.3926630163192748
0.0184,51.97480392456055,1.4277633500099183
0.0186,51.97480392456055,1.4277633500099183
0.0188,50.72492599487305,1.4627691507339478
0.019,50.72492599487305,1.4627691507339478
0.0192,50.674930572509766,1.462744150161743
0.0194,50.5549430847168,1.4649367809295655
0.0196,50.4549560546875,1.4636387133598328
0.0198,49.435054779052734,1.4751453340053557
0.02,49.73502731323242,1.488079718351364
